Day,Row,Column,Pesticide,SoilType,BodyBurden,Soil,Weight,Total,Formulation,Parent
2,1,A,ATZTOT,PLE,0.337135483,22.87721442,13.1831,1,0,1
2,1,H,ATZTOT,PLE,1.227227091,39.57404439,15.8694,1,0,1
2,3,C,ATZTOT,PLE,0.700940082,19.10798205,8.3884,1,0,1
2,5,C,ATZTOT,PLE,0.367019464,16.62668626,14.5384,1,0,1
2,6,F,ATZTOT,PLE,0.35231843,28.51661365,16.4296,1,0,1
2,7,B,ATZTOT,PLE,0.818657056,33.99919952,16.59,1,0,1
2,1,B,ATZTOT,OLS,0.565666776,29.78251321,9.5568,1,0,1
2,2,F,ATZTOT,OLS,2.185564918,17.87349815,12.3541,1,0,1
2,2,I,ATZTOT,OLS,1.460641759,16.59253376,11.1447,1,0,1
2,4,B,ATZTOT,OLS,0.521202693,12.29392621,11.9615,1,0,1
2,5,H,ATZTOT,OLS,0.525601376,21.6577354,17.3882,1,0,1
2,7,E,ATZTOT,OLS,6.443801458,29.25664048,11.7687,1,0,1
2,1,D,ATZTOT,PLE,0.867924815,23.57654351,10.5239,1,1,1
2,1,F,ATZTOT,PLE,0.560925254,23.85857164,14.6051,1,1,1
2,2,D,ATZTOT,PLE,0.572604017,21.82224207,16.9753,1,1,1
2,5,D,ATZTOT,PLE,0.357537561,22.10602964,12.6029,1,1,1
2,6,B,ATZTOT,PLE,0.525853638,18.47118347,11.4693,1,1,1
2,6,F,ATZTOT,PLE,1.29826811,8.640551756,11.7396,1,1,1
2,1,E,ATZTOT,OLS,1.138952601,14.25437079,11.0822,1,1,1
2,2,G,ATZTOT,OLS,2.05354599,19.5060604,10.069,1,1,1
2,4,I,ATZTOT,OLS,0.463586698,18.1116732,11.0174,1,1,1
2,5,A,ATZTOT,OLS,0.398005502,18.50933254,12.3638,1,1,1
2,5,G,ATZTOT,OLS,0.428099849,7.936778913,10.1878,1,1,1
2,7,D,ATZTOT,OLS,0.478180697,16.94936678,11.5272,1,1,1
2,1,A,ATZDEA,PLE,0.075243228,0.018474887,13.1831,0,0,0
2,1,H,ATZDEA,PLE,0.28456131,0.036885033,15.8694,0,0,0
2,3,C,ATZDEA,PLE,0.031793951,0.02858711,8.3884,0,0,0
2,5,C,ATZDEA,PLE,0.029729792,-0.000644321,14.5384,0,0,0
2,6,F,ATZDEA,PLE,0.098744923,0.026636263,16.4296,0,0,0
2,7,B,ATZDEA,PLE,0.17487426,0.002484692,16.59,0,0,0
2,1,B,ATZDEA,OLS,0.046155227,0.038793145,9.5568,0,0,0
2,2,F,ATZDEA,OLS,0.370135918,0.092473121,12.3541,0,0,0
2,2,I,ATZDEA,OLS,0.388027409,0.022522862,11.1447,0,0,0
2,4,B,ATZDEA,OLS,0.14018625,0.006018982,11.9615,0,0,0
2,5,H,ATZDEA,OLS,0.175966309,0.034186583,17.3882,0,0,0
2,7,E,ATZDEA,OLS,2.290047701,0.015977463,11.7687,0,0,0
2,1,D,STAUGDEA,PLE,0.046360529,0.001983549,10.5239,0,1,0
2,1,F,STAUGDEA,PLE,0.096682972,-0.005622976,14.6051,0,1,0
2,2,D,STAUGDEA,PLE,0.119649025,-0.000769958,16.9753,0,1,0
2,5,D,STAUGDEA,PLE,0.051098408,0.003583328,12.6029,0,1,0
2,6,B,STAUGDEA,PLE,0.138492752,0.010192612,11.4693,0,1,0
2,6,F,STAUGDEA,PLE,0.090403007,-0.009369422,11.7396,0,1,0
2,1,E,STAUGDEA,OLS,0.210713066,0.002097435,11.0822,0,1,0
2,2,G,STAUGDEA,OLS,0.021394977,0.009105339,10.069,0,1,0
2,4,I,STAUGDEA,OLS,0.079970792,0.007367168,11.0174,0,1,0
2,5,A,STAUGDEA,OLS,0.094944473,0.016369788,12.3638,0,1,0
2,5,G,STAUGDEA,OLS,0.054282492,-0.004208015,10.1878,0,1,0
2,7,D,STAUGDEA,OLS,0.118276274,0.015956316,11.5272,0,1,0
2,1,A,ATZDIA,PLE,0.062467607,0.025933992,13.1831,0,0,0
2,1,H,ATZDIA,PLE,0.224374895,0,15.8694,0,0,0
